"","Sex","Length","Diameter","Height","Whole.weight","Shucked.weight","Viscera.weight","Shell.weight","Rings"
"1","F",0.573692327913369,0.430095345044149,0.14162070026453,0.754334182220628,0.366445781527916,0.212997044932005,0.192566996935415,11
"2","M",0.19597469968402,0.136011672098659,0.0207367783164372,0.0373901451409607,0.0130107870822584,0.00793326724345585,0.00723449672368455,4
"3","F",0.486025320781421,0.34397687612408,0.115440143678055,0.590055039600633,0.240563039913833,0.14747434122765,0.136716370181545,11
"4","M",0.709485235321981,0.552313391624159,0.194048017003997,1.75160742299927,0.925403965578079,0.328095606642267,0.474264115062692,11
"5","F",0.638769121928042,0.489456970856757,0.150163422898302,1.26746998851255,0.521806720176598,0.30095826790639,0.387219796688481,10
"6","I",0.40542839858514,0.27687431071204,0.107530126772097,0.333644811234489,0.164907138377379,0.0477145445132663,0.066623491967119,7
"7","F",0.503673403489485,0.382925680529854,0.12823836832559,0.582197168740024,0.199415027032796,0.10022407384512,0.173530358952723,10
"8","M",0.687194403211996,0.507722965681818,0.167513812273769,1.8293763356894,0.727938822666369,0.215770954050168,0.379509880792756,13
"9","M",0.54967255905659,0.39920842658148,0.177195438434735,0.784361037647506,0.286245586489333,0.162908948827429,0.255897685466197,9
"10","M",0.555186142961477,0.411528551556323,0.15803189782453,1.02393247896193,0.357863891290751,0.220665295739789,0.351670379748908,14
"11","M",0.34966362742932,0.263410185277649,0.0898094834884914,0.174758557599202,0.0745761684323705,0.0454056670233136,0.0733466820774649,10
"12","M",0.326712824218959,0.220231003268528,0.076716487514362,0.14919166014861,0.0602107189406184,0.025658784975597,0.0468116015604972,5
"13","M",0.557804630362681,0.457305192207651,0.143132275016078,0.985233419484622,0.490748182765573,0.163071697904989,0.260047285166716,10
"14","I",0.599555986018468,0.46460637246812,0.142272982619988,0.820556338825287,0.553918139338475,0.237890251078191,0.219496380368562,9
"15","M",0.51940371199077,0.435036700777465,0.131182913605457,0.794148751041857,0.335879713873362,0.187362413580899,0.246213188443112,10
"16","I",0.485125035832204,0.377849919105957,0.126914722309079,0.501604820979635,0.212495614156949,0.107284808595178,0.172225038926286,9
"17","F",0.576805420373645,0.474118246548551,0.154993545015071,0.85952398745506,0.418502630312026,0.18398610524831,0.296480634820314,12
"18","M",0.651484522313875,0.511418392920479,0.194079805345788,1.56689781698696,0.759676097968093,0.350642232341571,0.39381821266586,10
"19","I",0.469745255516998,0.352377153936588,0.138387118488471,0.443830331351259,0.232984230473475,0.103449049350124,0.148132923438976,8
"20","I",0.394134582672583,0.292138567462832,0.0805803979800455,0.343866832306929,0.143016313524015,0.0649033454049081,0.0981011701102832,8
"21","I",0.265736823582629,0.186824169314329,0.0654349959236155,0.080354756639803,0.033320823836258,0.0170687018018625,0.0255879715281086,5
"22","I",0.613718264459065,0.484947813183817,0.155119246648042,0.975625545955177,0.396688102110042,0.188766066795255,0.356947186058218,13
"23","F",0.400363447640233,0.306827865562899,0.126249754361786,0.333206639900315,0.163423191397498,0.0576371783193116,0.0676647687729053,7
"24","F",0.630544927658575,0.475667214997798,0.15056478892024,1.12759187346738,0.582674157038898,0.267285890185395,0.298104437285624,10
"25","F",0.593260239927876,0.470891909950513,0.158378232788131,1.36168172779024,0.735728665871556,0.353378752609666,0.249472202821171,9
"26","F",0.668737650580056,0.495985570094208,0.179289553204682,1.31418420607402,0.535907001017611,0.294970516204991,0.352151071724543,13
"27","I",0.563283173315844,0.448240088816172,0.152843438035917,0.876320208215077,0.348879443899894,0.203484961316327,0.212627321735478,8
"28","M",0.588245790434868,0.488147085098521,0.182805801910297,1.0412195864934,0.485239256642253,0.228016102198637,0.287665769835003,10
"29","M",0.50296848647897,0.392746818478805,0.138973078771136,0.580915032379202,0.324460091285805,0.103593162806337,0.149632374461319,8
"30","I",0.363402074192814,0.269509752236582,0.0888808721440637,0.205231571253092,0.0829032812696271,0.0321389593734369,0.0578645179788489,4
"31","I",0.441425205559,0.328505565697312,0.108324759524263,0.366125282310876,0.157549677049291,0.0752976154005132,0.108862326621766,6
"32","M",0.273674115883664,0.212045182671907,0.0821421432275879,0.102920801872536,0.041448752561311,0.0247712295042943,0.0289629041781491,6
"33","F",0.594431643274668,0.447060912202255,0.175231830591369,1.05606675447648,0.490865593563447,0.239884856253827,0.303705467453157,10
"34","M",0.707310738639713,0.545275794243184,0.174724526959344,1.67936466059051,0.767943467522208,0.28998720004649,0.468429674744795,11
"35","I",0.431260746655297,0.326940464433129,0.108473481074329,0.39471035838242,0.200514966228818,0.101533152410458,0.104318024244042,6
"36","I",0.314194472155323,0.243523380759699,0.0835702705105843,0.156101092712047,0.0725319504999434,0.0246103892145918,0.0554141912234949,7
"37","I",0.536184931897745,0.421521510489333,0.141617362681888,0.67102407664068,0.261792561894419,0.133231905570564,0.242704998746342,10
"38","F",0.639841945217327,0.529403224493934,0.159576620631813,0.86169630450223,0.591144134585247,0.218591463096477,0.506241164769377,15
"39","M",0.52333885564078,0.409871406185243,0.135913465121987,0.637697132489293,0.29439447961997,0.125647358530209,0.163411955158233,9
"40","F",0.540277480852647,0.449942456559439,0.152351736115891,0.845485678905224,0.46539641945458,0.209093592034651,0.231817978100927,10
"41","M",0.515814691766627,0.39569646954359,0.124612118014504,0.567708218063563,0.255303690986619,0.149699852076518,0.151708917964394,7
"42","I",0.521359260021282,0.315372793241492,0.154963756808607,0.829555534789769,0.306714033845413,0.131067967898379,0.166615998970081,7
"43","M",0.558759031032372,0.47101979354183,0.0999811190449216,0.731464220684053,0.313441396864696,0.160605913470065,0.208688349084904,12
"44","M",0.412230865520587,0.32051739585612,0.101609391502897,0.328195799714543,0.135395538983491,0.0672241454016455,0.101052411980621,10
"45","I",0.552070168971312,0.433808474891221,0.149917729627266,0.727421627145584,0.310924413349712,0.139250392653129,0.216882742280612,9
"46","M",0.572279892118031,0.456417531244746,0.143411144926209,0.913828100612087,0.499267105854538,0.179814433613385,0.23690572558536,11
"47","I",0.349625073938053,0.242380876423114,0.0889033863694592,0.206460988739765,0.0727496455589308,0.0376446831960433,0.0518754771707407,6
"48","I",0.429049175210151,0.26222257797947,0.106905642436863,0.332212861853497,0.159025699717065,0.0913469063511066,0.1044363692441,6
"49","F",0.682719889991008,0.550245563431981,0.204858702566463,1.81139108230176,0.78229562200406,0.419702845996621,0.510984320601332,19
"50","I",0.449525343999253,0.354044522358477,0.0988622358600267,0.308581207746162,0.178259427532679,0.0900002558780782,0.128736055015761,8
"51","I",0.271575231672069,0.18308825087859,0.0636987502818014,0.0583432195480352,0.0303997557110868,0.0203747828353685,0.0199490286989466,8
"52","I",0.488112859221183,0.383138569796892,0.134638582473088,0.627674544420847,0.270472383782045,0.142344971411444,0.179978661795007,10
"53","M",0.634331340188508,0.490035629063472,0.175729453635194,1.34608823650563,0.555017036470041,0.3037413686156,0.332898085029818,9
"54","I",0.413007090043327,0.29037353409049,0.0965096140526159,0.359720291531877,0.135219936353292,0.0500852307132635,0.0769592903045662,7
"55","M",0.587574151796709,0.471576146576508,0.183371372910579,1.20234269135924,0.566400012290841,0.23250279163812,0.267262953468793,9
"56","M",0.585310172391952,0.438522494641902,0.173468258192362,0.862455447457253,0.331482694673216,0.216445386056973,0.292779825009756,11
"57","M",0.707065733215376,0.583871026662409,0.200725700624603,1.43162322287701,0.975503826573481,0.44485151307879,0.468716977696428,12
"58","F",0.709414441999731,0.532257086303409,0.162198377193124,1.52229748050651,0.848086694956455,0.405020946097569,0.341122449726906,9
"59","M",0.498005434028516,0.367556538175437,0.129348547650193,0.764500636207918,0.240076546324917,0.134664335374807,0.21230650496243,14
"60","I",0.28488112977542,0.217038452394574,0.0468944135188666,0.10682966370314,0.053618310500052,0.0260310352658014,0.0259777125939029,5
"61","F",0.621732208118434,0.494685175457576,0.152762819160589,1.14011884264761,0.463134108646571,0.305690308183688,0.270829413019557,18
"62","F",0.56801241200255,0.445803832025416,0.133380934738192,0.920879146687739,0.431694408925087,0.217437877827273,0.250580301445653,12
"63","F",0.655513662254038,0.508953256995164,0.167476678008926,1.28548054551542,0.671784360828082,0.298029155317024,0.320264462039484,11
"64","I",0.494813403504101,0.358218877994125,0.106394555910282,0.46985068577706,0.22990330630799,0.115661496629563,0.13205326224718,8
"65","F",0.508546231927158,0.407578971711129,0.153807009826703,0.647473192329577,0.319142536935439,0.123703940740059,0.174591904811798,12
"66","I",0.286335102715255,0.223574612351692,0.0753324355520735,0.0955487710000227,0.0410179195931794,0.0172453558127558,0.0313013091926853,8
"67","M",0.59395953599346,0.477487664686837,0.160311843283113,0.974242963310404,0.47201420682369,0.179453339425195,0.252396512520159,9
"68","M",0.613840972744592,0.497864001051458,0.187556311250547,1.31323180265123,0.426218253070907,0.340322102881315,0.385876568165382,10
"69","I",0.382762758274083,0.274824504062928,0.0856634372426149,0.25482260406429,0.113584929785642,0.0467718353545902,0.0754764473808,6
"70","M",0.520572561549288,0.385799189568855,0.140299445239983,0.569930395795661,0.230816349275583,0.138801228779549,0.172006100845364,7
"71","F",0.729882840137577,0.548794225405918,0.212926980487031,1.73794524987831,0.797458448210628,0.375225620332854,0.458428237782727,10
"72","M",0.600855590748406,0.462440239642053,0.188213377843769,1.12101066880461,0.373994920990254,0.188675564984716,0.337647721967685,26
"73","F",0.580704047664329,0.433436873051622,0.138488284229075,0.937793284529928,0.462637130321666,0.203677102719218,0.230086893574149,9
"74","M",0.523083963485526,0.422594778172317,0.15706290576438,0.832918617957045,0.340210993113724,0.182374243529805,0.231436328969046,15
"75","M",0.606577849840346,0.454259305733651,0.128315346917529,0.959512606469557,0.216428122348365,0.26950282901633,0.311024343417645,18
"76","I",0.327302359814944,0.247880611772944,0.070195824015772,0.175996720636411,0.0817666758018126,0.0360323837481965,0.0429178188974259,7
"77","F",0.57348635377738,0.476319098145442,0.185706034000461,1.01515966169305,0.411128841915401,0.287844398052066,0.311970411630944,10
"78","F",0.597158762058445,0.466995750281509,0.160554088669596,0.887728870474362,0.293347701296372,0.239037351468572,0.262812722882086,10
"79","I",0.333249472849571,0.267853492153368,0.0907846924821665,0.193236970486639,0.0856682911600217,0.0401400530079826,0.0657314799823979,6
"80","M",0.650275467359775,0.534208037416581,0.176942516227421,1.31854132504796,0.504550729134655,0.4015185304905,0.406691416754362,10
"81","F",0.589910359997785,0.438274321990081,0.166239443366292,1.11174999703472,0.42135099366387,0.249045805867775,0.254945319456457,10
"82","M",0.476836893581915,0.32263347070653,0.101046078403792,0.410530168547001,0.181068841189029,0.10009984412334,0.136075139909915,9
"83","M",0.59230699484584,0.472837787780226,0.171856569469028,1.09813829911551,0.456455926204156,0.281063926052486,0.249781474427238,9
"84","F",0.599875593584437,0.495502826027359,0.160431948109545,0.93044190396955,0.619997753845714,0.196738344877715,0.32368238039841,9
"85","F",0.52225613190852,0.400644050462452,0.131231939737138,0.652413243444778,0.287693177157635,0.151688432241672,0.189612411226055,9
"86","M",0.551818728948772,0.428142360471793,0.170043180895662,0.799416982853041,0.530231899803096,0.229134217025233,0.241552956170251,13
"87","F",0.533067013898969,0.397081957983982,0.129050603372964,0.769955201296875,0.317200051746025,0.183207852896012,0.219850155511268,8
"88","M",0.419420887717006,0.364250820290375,0.151174393513575,0.71721070132169,0.271951753075167,0.110396176027349,0.172073873787022,8
"89","I",0.562901934987462,0.453151046040438,0.218814074471698,1.32059360761446,0.642889811246139,0.249204130484643,0.331033024699412,18
"90","F",0.590535907161189,0.510817177729168,0.167006612886341,1.4310096916606,0.689537003558862,0.275830805267789,0.342545551938761,9
"91","M",0.668449554863855,0.537302952427535,0.183813187783971,1.81540076211578,0.776089668969957,0.377229657745245,0.408291006786173,9
