"","buying","maint","doors","persons","lug_boot","safety","class"
"1","vhigh","vhigh","3","4","small","high","unacc"
"2","low","low","5more","4","small","low","unacc"
"3","high","low","2","4","big","high","acc"
"4","vhigh","low","3","more","big","med","acc"
"5","high","high","5more","2","med","high","unacc"
"6","med","low","3","more","med","med","good"
"7","high","med","2","more","small","med","unacc"
"8","vhigh","med","5more","4","small","low","unacc"
"9","low","med","2","2","med","high","unacc"
"10","low","vhigh","3","2","med","med","unacc"
"11","med","vhigh","4","2","big","med","unacc"
"12","vhigh","med","4","2","small","low","unacc"
"13","med","high","4","2","med","low","unacc"
"14","low","low","3","2","med","med","unacc"
"15","med","med","5more","more","small","low","unacc"
"16","low","low","2","more","med","low","unacc"
"17","vhigh","med","3","4","small","high","acc"
"18","high","high","2","2","big","high","unacc"
"19","low","vhigh","3","more","med","med","acc"
"20","med","high","4","2","big","med","unacc"
"21","vhigh","high","5more","4","med","low","unacc"
"22","vhigh","high","2","4","big","low","unacc"
"23","high","med","4","2","big","high","unacc"
"24","med","high","4","more","small","med","unacc"
"25","med","med","4","4","small","low","unacc"
"26","vhigh","med","3","4","small","high","good"
"27","med","vhigh","2","more","med","med","unacc"
"28","high","low","2","more","small","low","unacc"
"29","low","vhigh","5more","2","med","low","unacc"
"30","high","high","2","more","med","high","acc"
"31","med","vhigh","5more","4","small","high","acc"
"32","high","vhigh","2","more","big","high","acc"
"33","high","high","5more","more","big","med","acc"
"34","vhigh","vhigh","5more","4","med","high","unacc"
"35","med","low","3","more","big","high","vgood"
"36","low","vhigh","2","more","small","low","unacc"
"37","high","low","3","more","med","low","unacc"
"38","high","low","2","2","big","low","unacc"
"39","vhigh","high","2","4","med","low","unacc"
"40","vhigh","med","3","more","big","low","unacc"
"41","med","low","2","2","med","low","unacc"
"42","vhigh","med","4","more","big","high","acc"
"43","high","low","4","2","small","low","unacc"
"44","low","vhigh","5more","more","med","med","unacc"
"45","high","high","5more","4","med","high","acc"
"46","low","vhigh","5more","4","small","med","unacc"
"47","med","high","4","more","small","low","unacc"
"48","high","vhigh","2","2","small","low","unacc"
"49","low","high","3","more","big","low","unacc"
"50","low","vhigh","5more","more","big","low","unacc"
"51","med","low","5more","2","big","high","unacc"
"52","high","vhigh","2","4","big","high","acc"
"53","vhigh","low","3","2","med","low","unacc"
"54","vhigh","low","5more","4","big","high","acc"
"55","high","high","2","more","med","med","unacc"
"56","med","high","3","4","small","med","unacc"
"57","low","vhigh","5more","4","small","low","unacc"
"58","med","low","5more","2","med","high","unacc"
"59","vhigh","high","2","4","med","high","acc"
"60","high","low","3","more","med","high","acc"
"61","low","low","4","more","med","high","vgood"
"62","high","med","2","more","small","high","unacc"
"63","low","med","2","4","small","low","unacc"
"64","vhigh","high","2","2","med","high","unacc"
"65","high","low","4","4","big","high","acc"
"66","vhigh","low","5more","4","med","med","good"
"67","high","low","2","4","med","high","acc"
"68","high","vhigh","4","2","small","high","unacc"
"69","low","high","3","2","big","med","unacc"
"70","vhigh","low","5more","more","small","low","unacc"
"71","vhigh","low","5more","2","small","low","unacc"
"72","high","high","3","more","med","high","acc"
"73","med","vhigh","2","4","small","low","unacc"
"74","high","high","2","4","big","high","acc"
"75","low","vhigh","4","4","big","med","acc"
"76","high","vhigh","3","2","big","low","unacc"
"77","vhigh","high","4","more","big","low","unacc"
"78","high","high","4","more","med","med","acc"
"79","low","high","5more","2","med","low","unacc"
"80","med","low","2","2","big","high","unacc"
"81","high","low","4","4","small","med","unacc"
"82","vhigh","vhigh","3","2","big","med","unacc"
"83","low","high","4","2","big","high","unacc"
"84","high","vhigh","3","more","small","high","unacc"
"85","high","high","3","more","med","low","unacc"
"86","high","vhigh","4","more","small","low","unacc"
"87","high","low","3","4","big","med","acc"
"88","low","med","3","2","small","high","unacc"
"89","high","low","4","more","small","high","unacc"
"90","high","vhigh","3","2","small","high","unacc"
"91","vhigh","med","2","more","med","low","unacc"
"92","vhigh","med","2","2","med","high","unacc"
"93","vhigh","vhigh","3","4","small","high","unacc"
"94","low","vhigh","2","4","med","low","unacc"
"95","high","vhigh","4","2","big","med","unacc"
"96","low","med","3","more","small","med","acc"
"97","vhigh","low","3","2","med","low","unacc"
"98","high","vhigh","4","more","small","high","unacc"
"99","low","low","3","more","med","med","acc"
"100","med","high","3","4","small","med","unacc"
"101","med","vhigh","2","2","med","high","unacc"
"102","vhigh","med","5more","2","med","high","unacc"
"103","vhigh","vhigh","4","more","med","high","acc"
"104","med","vhigh","2","4","small","med","unacc"
"105","low","low","5more","4","big","med","acc"
"106","low","med","3","2","big","med","unacc"
"107","med","low","3","2","med","low","unacc"
"108","high","low","4","2","small","high","unacc"
"109","vhigh","vhigh","3","4","med","high","unacc"
"110","med","high","5more","2","big","low","unacc"
"111","med","low","4","4","small","med","acc"
"112","low","low","3","2","small","med","unacc"
"113","med","med","3","more","big","high","acc"
"114","med","vhigh","5more","2","small","high","unacc"
"115","high","low","5more","4","small","low","unacc"
"116","low","med","2","4","small","low","unacc"
"117","vhigh","med","2","2","big","low","unacc"
"118","vhigh","vhigh","4","more","big","high","unacc"
"119","vhigh","high","3","4","big","low","unacc"
"120","vhigh","high","5more","more","big","high","unacc"
"121","low","high","3","2","med","med","unacc"
"122","low","med","3","2","small","low","unacc"
"123","high","vhigh","5more","more","big","high","unacc"
"124","vhigh","high","5more","2","small","high","unacc"
"125","vhigh","med","4","4","med","med","acc"
"126","low","low","5more","more","big","high","vgood"
"127","low","low","3","2","small","med","unacc"
"128","vhigh","med","5more","2","small","med","unacc"
"129","med","vhigh","3","2","big","low","unacc"
