V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,Class
11,-2.463,-1.264,1.15,0.234,1.833,0.066,0.738,-1.382,-0.498,hid
10,-4.717,-0.682,0.532,-0.48,0.731,0.174,0.493,0.635,-0.473,hud
5,-2.85,-0.792,0.482,-0.365,0.046,-0.029,-0.761,-0.251,0.113,hAd
6,-2.659,-0.687,0.697,1.081,1.045,-0.149,0.184,-0.927,0.327,hId
2,-2.679,-0.09,2.003,-1.009,0.038,-0.822,1.232,0.128,0.72,hOd
7,-3.631,-0.719,0.13,-0.065,0.348,-0.061,0.555,-0.594,0.806,hAd
8,-2.895,-0.151,0.218,-0.689,1.118,-0.264,0.922,0.757,0.327,hed
4,-2.923,-0.231,-0.307,0.075,0.265,0.403,0.691,-1.012,-0.157,hed
5,-3.246,-0.867,-0.205,-0.316,0.808,0.824,0.062,-0.118,-0.749,hOd
2,-2.155,-0.393,1.354,-1.045,0.646,-0.246,1.279,-0.396,0.177,had
11,-2.458,-0.359,0.376,-0.244,0.134,-0.163,0.298,0.444,-0.711,had
6,-2.93,-0.7,0.206,-0.088,0.153,0.142,-0.031,-1.437,0.615,hed
7,-4.181,0.736,1.286,0.724,-0.511,-1.126,-0.45,-0.648,0.995,hId
5,-3.086,-0.627,1.508,0.338,0.747,-0.479,-0.323,-1.087,0.645,hEd
6,-3.098,-0.316,-0.322,-1.082,0.285,0.445,0.847,-0.951,-0.707,hOd
9,-4.13,-1.141,0.183,-0.498,1.324,-0.399,0.675,-0.339,-0.694,hUd
8,-3.81,0.527,0.478,-0.972,0.945,-0.28,0.719,0.482,0.829,hUd
6,-2.64,-0.345,-0.23,-1.649,0.064,0.275,0.952,-0.651,-0.571,hYd
3,-2.026,-0.526,-0.131,0.266,-0.055,0.084,0.063,0.047,-0.691,hAd
10,-2.434,-1.341,-0.411,0.372,0.843,-0.022,0.336,0.123,-0.747,had
9,-2.521,-0.954,0.232,-0.918,0.253,-0.094,0.833,-0.704,-0.092,had
2,-2.53,-0.936,1.21,-1.154,1.316,-0.267,1.149,0.226,-0.77,hed
6,-2.569,-0.841,0.732,1.112,0.961,-0.075,0.148,-0.893,0.314,hId
13,-2.902,-1.199,0.234,-0.821,1.257,0.263,-0.075,-1.103,0.417,hYd
2,-1.123,-1.954,0.563,-0.465,1.983,0.027,1.614,-0.568,0.007,hId
3,-1.495,-1.134,-0.249,-0.37,1.286,0.348,0.854,0.313,-0.376,hId
0,-3.141,-1.131,0.941,-0.759,1.224,-0.354,0.016,-0.218,-0.568,hYd
0,-3.032,-1.141,0.737,-0.834,1.386,-0.575,0.679,-0.018,-0.823,hed
10,-2.464,-0.975,-0.651,0.158,1.047,-0.145,0.203,0.246,-0.745,had
13,-3.097,-0.173,1.392,-0.613,-0.143,-0.014,-0.565,-0.065,1.129,hEd
8,-4.717,0.853,1.98,-0.546,0.688,-0.434,-0.424,-0.636,1.245,hud
0,-2.69,-1.261,0.674,-0.964,1.449,-0.593,1.005,-0.303,-0.541,hed
1,-3.941,0.486,-0.506,-1.12,0.101,0.297,0.711,-0.078,0.648,hod
4,-2.555,-0.8,-0.233,-0.078,0.244,0.771,-0.112,-0.707,0.165,had
3,-1.933,-1.015,0.27,0.199,0.78,0.192,0.706,-0.446,-0.595,hEd
12,-2.021,-0.416,-0.116,0.094,-0.033,-0.4,-0.08,-0.136,0.069,hAd
13,-4.689,1.312,1.802,0.313,-0.405,-0.663,0.106,-0.325,0.838,hid
9,-2.937,-1.291,0.355,-0.372,0.57,0.045,0.452,-0.705,-0.263,had
